customer_id,name,state,is_rural,signup_date,age
CUST000000,Aryan Maharaj,Tamil Nadu,False,2025-10-16,20
CUST000001,Udant Dewan,Jharkhand,False,2024-01-26,21
CUST000002,Gagan Sami,Odisha,True,2024-09-07,48
CUST000003,Ayushman Chander,Gujarat,False,2024-05-22,19
CUST000004,Viraj Tiwari,Maharashtra,True,2025-11-23,31
CUST000005,Rushil Saini,Maharashtra,True,2024-03-30,54
CUST000006,Saumya Mall,Uttar Pradesh,False,2025-03-08,48
CUST000007,Nathaniel Sami,Assam,True,2024-01-31,19
CUST000008,Arunima Dugal,Gujarat,False,2024-08-11,48
CUST000009,Gayathri Chaudry,Odisha,True,2025-06-01,64
CUST000010,Lajita Chatterjee,Uttar Pradesh,False,2024-01-28,60
CUST000011,Hemangini Lalla,Telangana,True,2024-07-22,39
CUST000012,Tripti Yadav,Kerala,False,2025-12-19,27
CUST000013,Kritika Brar,Bihar,True,2025-03-05,47
CUST000014,Janaki Handa,Bihar,False,2025-04-04,50
CUST000015,Chakradev Kari,Bihar,False,2024-10-11,36
CUST000016,Fariq Kaul,West Bengal,True,2024-06-12,63
CUST000017,Lajita Mall,Karnataka,True,2024-12-14,42
CUST000018,Janya Gaba,Rajasthan,True,2024-06-08,63
CUST000019,Isha Kadakia,West Bengal,False,2024-12-10,18
CUST000020,Ekbal Garg,Gujarat,True,2024-04-04,49
CUST000021,Nihal Shere,Maharashtra,False,2024-04-09,42
CUST000022,Anamika Kanda,West Bengal,False,2024-12-18,58
CUST000023,Daksh Karnik,Tamil Nadu,True,2024-09-27,34
CUST000024,Diya Rattan,Rajasthan,True,2025-04-15,31
CUST000025,Dominic Kakar,Punjab,True,2024-05-07,62
CUST000026,Simon Tata,Bihar,False,2024-03-21,30
CUST000027,Tara Dhar,Karnataka,True,2024-10-27,55
CUST000028,Liam Koshy,Gujarat,True,2025-09-25,56
CUST000029,Priya Rastogi,Uttar Pradesh,False,2025-08-14,19
CUST000030,Theodore Devi,Gujarat,True,2025-12-22,49
CUST000031,Gavin Batta,Maharashtra,False,2024-02-16,49
CUST000032,Michael Dutta,Uttar Pradesh,True,2024-10-23,57
CUST000033,Devansh Rajan,Jharkhand,True,2024-08-26,23
CUST000034,Upadhriti Wadhwa,Telangana,False,2025-01-24,42
